Relation Name,Description,Reference,Notes
latest-version,"Points to a resource containing the latest (e.g.,
      current) version of the context.",[RFC5829],
license,Refers to a license associated with this context.,[RFC4946],"For implications of use in HTML, see: http://www.w3.org/TR/html5/links.html#link-type-license"
linkset,"The link target of a link with the ""linkset"" relation
      type provides a set of links, including links in which the link
      context of the link participates.",[RFC9264],
lrdd,"Refers to further information about the link's context,
      expressed as a LRDD (""Link-based Resource Descriptor Document"")
      resource.  See [RFC6415] for information about
      processing this relation type in host-meta documents. When used
      elsewhere, it refers to additional links and other metadata.
      Multiple instances indicate additional LRDD resources. LRDD
      resources MUST have an ""application/xrd+xml"" representation, and
      MAY have others.",[RFC6415],
manifest,Links to a manifest file for the context.,[Web App Manifest],
mask-icon,Refers to a mask that can be applied to the icon for the context.,[Creating Pinned Tab Icons],
me,Links to a resource about the author of the link's context.,[https://microformats.org/wiki/rel-me],See also 'author'
media-feed,Refers to a feed of personalised media recommendations relevant to the link context.,[https://wicg.github.io/media-feeds/#discovery-of-media-feeds],
memento,"The Target IRI points to a Memento, a fixed resource that will not change state anymore.",[RFC7089],"A Memento for an Original Resource is a resource that
      encapsulates a prior state of the Original Resource."
micropub,Links to the context's Micropub endpoint.,[Micropub],
modulepreload,Refers to a module that the user agent is to preemptively fetch and store for use in the current context.,[HTML],
monitor,Refers to a resource that can be used to monitor changes in an HTTP resource.,[RFC5989],
monitor-group,Refers to a resource that can be used to monitor changes in a specified group of HTTP resources.,[RFC5989],
next,"Indicates that the link's context is a part of a series, and
      that the next in the series is the link target.",[HTML],
next-archive,Refers to the immediately following archive resource.,[RFC5005],
nofollow,Indicates that the context’s original author or publisher does not endorse the link target.,[HTML],
noopener,Indicates that any newly created top-level browsing context which results from following the link will not be an auxiliary browsing context.,[HTML],
noreferrer,Indicates that no referrer information is to be leaked when following the link.,[HTML],
opener,Indicates that any newly created top-level browsing context which results from following the link will be an auxiliary browsing context.,[HTML],
openid2.local_id,Refers to an OpenID Authentication server on which the context relies for an assertion that the end user controls an Identifier.,[OpenID Authentication 2.0 - Final],
openid2.provider,Refers to a resource which accepts OpenID Authentication protocol messages for the context.,[OpenID Authentication 2.0 - Final],
original,The Target IRI points to an Original Resource.,[RFC7089],"An Original Resource is a resource that exists or used to
      exist, and for which access to one of its prior states may be
      required."
p3pv1,Refers to a P3P privacy policy for the context.,[The Platform for Privacy Preferences 1.0 (P3P1.0) Specification],
payment,Indicates a resource where payment is accepted.,[RFC8288],"This relation type registration did not indicate a
      reference.  Requested by Joshua Kinberg and Robert Sayre.  It is
      meant as a general way to facilitate acts of payment, and thus
      this specification makes no assumptions on the type of payment or
      transaction protocol.  Examples may include a web page where
      donations are accepted or where goods and services are available
      for purchase. rel=""payment"" is not intended to initiate an
      automated transaction.  In Atom documents, a link element with a
      rel=""payment"" attribute may exist at the feed/channel level and/or
      the entry/item level.  For example, a rel=""payment"" link at the
      feed/channel level may point to a ""tip jar"" URI, whereas an entry/
      item containing a book review may include a rel=""payment"" link
      that points to the location where the book may be purchased
      through an online retailer."
pingback,Gives the address of the pingback resource for the link context.,[Pingback 1.0],
preconnect,"Used to indicate an origin that will be used to fetch required resources for the link context. Initiating an early connection, which includes the DNS lookup, TCP handshake, and optional TLS negotiation, allows the user agent to mask the high latency costs of establishing a connection.",[HTML],
predecessor-version,"Points to a resource containing the predecessor
      version in the version history.",[RFC5829],
prefetch,"The prefetch link relation type is used to identify a resource that might be required by the next navigation from the link context, and that the user agent ought to fetch, such that the user agent can deliver a faster response once the resource is requested in the future.",[HTML],
preload,"Refers to a resource that should be loaded early in the processing of the link's context, without blocking rendering.",[Preload],Additional target attributes establish the detailed fetch properties of the link.
prerender,"Used to identify a resource that might be required by the next navigation from the link context, and that the user agent ought to fetch and execute, such that the user agent can deliver a faster response once the resource is requested in the future.",[Resource Hints],
prev,"Indicates that the link's context is a part of a series, and
      that the previous in the series is the link target.",[HTML],
preview,Refers to a resource that provides a preview of the link's context.,"[RFC6903], section 3",
previous,"Refers to the previous resource in an ordered series
      of resources.  Synonym for ""prev"".",[HTML 4.01 Specification],
prev-archive,Refers to the immediately preceding archive resource.,[RFC5005],
privacy-policy,Refers to a privacy policy associated with the link's context.,"[RFC6903], section 4",
profile,"Identifying that a resource representation conforms
to a certain profile, without affecting the non-profile semantics
of the resource representation.",[RFC6906],"Profile URIs are primarily intended to be used as
identifiers, and thus clients SHOULD NOT indiscriminately access
profile URIs."
publication,"Links to a publication manifest. A manifest represents structured information about a publication, such as informative metadata, a list of resources, and a default reading order.",[Publication Manifest],
related,Identifies a related resource.,[RFC4287],
restconf,"Identifies the root of RESTCONF API as configured on this HTTP server.
      The ""restconf"" relation defines the root of the API defined in RFC8040.
      Subsequent revisions of RESTCONF will use alternate relation values to support protocol versioning.",[RFC8040],
replies,"Identifies a resource that is a reply to the context
      of the link.",[RFC4685],
ruleinput,"The resource identified by the link target provides an input value to an instance of a rule, where the resource which represents the rule instance is identified by the link context.",[OCF Core Optional 2.2.0],
search,"Refers to a resource that can be used to search through
      the link's context and related resources.",[OpenSearch],
section,Refers to a section in a collection of resources.,[HTML 4.01 Specification],
self,Conveys an identifier for the link's context.,[RFC4287],
service,"Indicates a URI that can be used to retrieve a
      service document.",[RFC5023],"When used in an Atom document, this relation type specifies
      Atom Publishing Protocol service documents by default.  Requested
      by James Snell."
service-desc,"Identifies service description for the context that
      is primarily intended for consumption by machines.",[RFC8631],
service-doc,"Identifies service documentation for the context that
      is primarily intended for human consumption.",[RFC8631],
service-meta,"Identifies general metadata for the context that is
      primarily intended for consumption by machines.",[RFC8631],
sip-trunking-capability,Refers to a capability set document that defines parameters or configuration requirements for automated peering and communication-channel negotiation of the Session Initiation Protocol (SIP).,[RFC9409],
sponsored,Refers to a resource that is within a context that is sponsored (such as advertising or another compensation agreement).,[Google Blog post 09-2019],
start,"Refers to the first resource in a collection of
      resources.",[HTML 4.01 Specification],
status,"Identifies a resource that represents the context's
      status.",[RFC8631],
stylesheet,Refers to a stylesheet.,[HTML],
subsection,"Refers to a resource serving as a subsection in a
      collection of resources.",[HTML 4.01 Specification],
successor-version,"Points to a resource containing the successor version
      in the version history.",[RFC5829],
sunset,"Identifies a resource that provides information about
      the context's retirement policy.",[RFC8594],
tag,"Gives a tag (identified by the given address) that applies to
      the current document.",[HTML],
terms-of-service,Refers to the terms of service associated with the link's context.,"[RFC6903], section 5",
timegate,The Target IRI points to a TimeGate for an Original Resource.,[RFC7089],"A TimeGate for an Original Resource is a resource that is
      capable of datetime negotiation to support access to prior states
      of the Original Resource."
timemap,The Target IRI points to a TimeMap for an Original Resource.,[RFC7089],"A TimeMap for an Original Resource is a resource from which
      a list of URIs of Mementos of the Original Resource is available."
type,Refers to a resource identifying the abstract semantic type of which the link's context is considered to be an instance.,"[RFC6903], section 6",
ugc,Refers to a resource that is within a context that is User Generated Content.,[Google Blog post 09-2019],
up,"Refers to a parent document in a hierarchy of
      documents.",[RFC8288],"This relation type registration did not indicate a
      reference.  Requested by Noah Slater."
version-history,"Points to a resource containing the version history
      for the context.",[RFC5829],
via,"Identifies a resource that is the source of the
      information in the link's context.",[RFC4287],
webmention,"Identifies a target URI that supports the Webmention protocol.
    This allows clients that mention a resource in some form of publishing process
    to contact that endpoint and inform it that this resource has been mentioned.",[Webmention],"This is a similar ""Linkback"" mechanism to the ones of Refback, Trackback, and Pingback.
    It uses a different protocol, though, and thus should be discoverable through its own link
    relation type."
working-copy,Points to a working copy for this resource.,[RFC5829],
working-copy-of,"Points to the versioned resource from which this
      working copy was obtained.",[RFC5829],
